user_id,title,price,city,meters,description,photo
973820346,"Студия в центре Москвы",50000,Москва,25,"Маленькая, но уютная студия с ремонтом.","media/images/img.png"
973820346,"Однушка у метро",53000,Москва,35,"Квартира рядом с метро, современный интерьер.","media/images/img.png"
973820346,"Малогабаритная квартира",40000,Санкт-Петербург,30,"Комфортное жильё для одного человека.","media/images/img.png"
973820346,"Квартира в историческом центре",45000,Нижний Новгород,38,"Прекрасный вариант в старом городе.","media/images/img.png"
973820346,"Тихая квартира",48000,Москва,39,"Уютная квартира в зелёном районе.","media/images/img.png"
973820346,"Двухкомнатная с хорошим ремонтом",70000,Москва,45,"Просторная квартира в хорошем районе.","media/images/img.png"
973820346,"Светлая квартира в центре СПб",75000,Санкт-Петербург,50,"Ремонт 2023 года, удобная планировка.","media/images/img.png"
973820346,"Уютная квартира в Нижнем",60000,Нижний Новгород,42,"Прекрасное жильё рядом с парком.","media/images/img.png"
973820346,"Современная квартира",78000,Москва,55,"Дизайнерский ремонт, рядом торговый центр.","media/images/img.png"
973820346,"Двушка в центре города",72000,Санкт-Петербург,58,"Красивый вид из окон, свежий ремонт.","media/images/img.png"
973820346,"Квартира с панорамными окнами",95000,Москва,85,"Элитный жилой комплекс, охраняемая территория.","media/images/img.png"
973820346,"Семейная квартира у метро",87000,Санкт-Петербург,82,"Большие комнаты, удобная планировка.","media/images/img.png"
973820346,"Трёхкомнатная квартира",92000,Нижний Новгород,90,"Просторная квартира в новостройке.","media/images/img.png"
973820346,"Жильё для семьи",89000,Москва,88,"Тихий район, рядом школы и сады.","media/images/img.png"
973820346,"Элитная квартира с ремонтом",99000,Санкт-Петербург,95,"Мебель и техника, премиальные материалы.","media/images/img.png"
973820346,"Апартаменты в Москва-Сити",250000,Москва,110,"Роскошное жильё в самом центре столицы.","media/images/img.png"
973820346,"Пентхаус с видом на Неву",300000,Санкт-Петербург,120,"Огромные окна, дизайнерский интерьер.","media/images/img.png"
973820346,"Квартира в элитном ЖК",210000,Москва,105,"Закрытая территория, премиальный ремонт.","media/images/img.png"
973820346,"Домашний уют",150000,Нижний Новгород,115,"Просторная квартира для семьи с детьми.","media/images/img.png"
973820346,"Элитные апартаменты в центре",280000,Санкт-Петербург,130,"Панорамный вид, удобное расположение.","media/images/img.png"
973820346,"Уютная студия в центре Москвы",45000,Москва,30,"Студия с ремонтом и мебелью, идеально расположена в центре.","media/images/img.png"
973820346,"Квартира с балконом у метро",52000,Москва,40,"Однокомнатная квартира в пешей доступности от станции метро.","media/images/img.png"
973820346,"Студия с видом на Кремль",55000,Москва,35,"Комфортная студия с прекрасным видом на центр города.","media/images/img.png"
973820346,"Однушка с ремонтом в тихом районе",47000,Москва,38,"Квартира с новой отделкой в спокойном районе рядом с парком.","media/images/img.png"
973820346,"Квартира у парка Горького",60000,Москва,45,"Просторная квартира с окнами на парк, идеальная для семей.","media/images/img.png"
973820346,"Комфортная квартира в центре СПб",60000,Санкт-Петербург,42,"Современная квартира рядом с Невским проспектом.","media/images/img.png"
973820346,"Квартира с дизайнерским ремонтом",75000,Санкт-Петербург,50,"Элегантная квартира с авторским ремонтом в самом центре города.","media/images/img.png"
973820346,"Однушка с видом на Неву",62000,Санкт-Петербург,40,"Квартира с панорамным видом на реку и исторические здания.","media/images/img.png"
973820346,"Квартира в историческом центре СПб",67000,Санкт-Петербург,55,"Просторная квартира с высокими потолками и оригинальным интерьером.","media/images/img.png"
973820346,"Современная квартира в центре Нижнего",48000,Нижний Новгород,43,"Квартира с современным ремонтом в шаговой доступности от площади.","media/images/img.png"
973820346,"Уютная квартира в центре Нижнего",50000,Нижний Новгород,46,"Квартира с большим балконом, рядом с центральными улицами города.","media/images/img.png"
973820346,"Квартира в жилом комплексе на берегу Волги",53000,Нижний Новгород,50,"Просторная квартира с видом на реку и парком в шаговой доступности.","media/images/img.png"
973820346,"Квартира с ремонтом и мебелью в Нижнем",45000,Нижний Новгород,40,"Отличная квартира с новой мебелью и техникой, удобное расположение.","media/images/img.png"
973820346,"Студия с ремонтом в Нижнем",42000,Нижний Новгород,35,"Современная студия с качественным ремонтом, идеально для одного человека.","media/images/img.png"
973820346,"Студия с видом на Москва-Сити",52000,Москва,34,"Современная студия с панорамным видом на Москва-Сити.","media/images/img.png"
973820346,"Квартира рядом с метро Курская",48000,Москва,40,"Однокомнатная квартира в центре, рядом с метро.","media/images/img.png"
973820346,"Светлая студия с ремонтом",50000,Москва,38,"Уютная студия с новым ремонтом, идеальная для молодого человека.","media/images/img.png"
973820346,"Квартира в тихом районе Москвы",53000,Москва,45,"Тихая и уютная квартира в спальном районе, удобно для семьи.","media/images/img.png"
973820346,"Ремонтированная квартира в центре Москвы",55000,Москва,47,"Просторная квартира с качественным ремонтом в историческом центре.","media/images/img.png"
973820346,"Квартира с ремонтом и мебелью",49000,Москва,43,"Квартира с ремонтом, удобное расположение недалеко от метро.","media/images/img.png"
973820346,"Квартира у Невского проспекта",70000,Санкт-Петербург,60,"Квартира в центре, рядом с Невским проспектом и метро.","media/images/img.png"
973820346,"Однушка с отличным ремонтом",60000,Санкт-Петербург,45,"Современная однушка с новым ремонтом, рядом с магазинами и кафе.","media/images/img.png"
973820346,"Современная квартира в центре СПб",65000,Санкт-Петербург,52,"Просторная квартира с ремонтом в центре города, рядом с историческими памятниками.","media/images/img.png"
973820346,"Квартира у Воскресенского моста",72000,Санкт-Петербург,55,"Квартира с панорамными окнами и видом на реку, стильный интерьер.","media/images/img.png"
973820346,"Двушка с видом на Неву",76000,Санкт-Петербург,65,"Просторная двухкомнатная квартира с видом на Неву.","media/images/img.png"
973820346,"Однушка в центре Нижнего Новгорода",47000,Нижний Новгород,40,"Уютная квартира с качественным ремонтом, удобное расположение.","media/images/img.png"
973820346,"Квартира с ремонтом в центре Нижнего",49000,Нижний Новгород,42,"Просторная квартира с хорошим ремонтом в шаговой доступности от исторического центра.","media/images/img.png"
973820346,"Тихая квартира рядом с площадью Горького",53000,Нижний Новгород,47,"Уютная квартира в спокойном районе, рядом с парком и площадью Горького.","media/images/img.png"
973820346,"Квартира в историческом центре города",56000,Нижний Новгород,50,"Квартира в старинном доме с высокими потолками, возле основных достопримечательностей.","media/images/img.png"
973820346,"Студия с современным ремонтом",48000,Нижний Новгород,37,"Современная студия с хорошим ремонтом в центре города.","media/images/img.png"
973820346,"Двухкомнатная квартира с ремонтом",62000,Нижний Новгород,60,"Просторная двухкомнатная квартира с новым ремонтом, рядом с метро.","media/images/img.png"
973820346,"Квартира с мебелью и техникой",65000,Нижний Новгород,55,"Квартира с качественной мебелью и техникой, идеально расположена для аренды.","media/images/img.png"
973820346,"Квартира в новом доме с панорамными окнами",69000,Нижний Новгород,70,"Просторная квартира с видами на город, новые окна и балкон.","media/images/img.png"
973820346,"Комфортная студия у метро",51000,Москва,36,"Уютная студия с хорошим ремонтом, всего в 5 минутах от метро.","media/images/img.png"
973820346,"Квартира с балконом и видом на город",57000,Москва,45,"Однокомнатная квартира с балконом и видом на центр Москвы.","media/images/img.png"
973820346,"Студия с современным ремонтом",49000,Москва,40,"Студия в новом доме, современный ремонт, все необходимое для жизни.","media/images/img.png"
973820346,"Однокомнатная квартира в центре Москвы",53000,Москва,42,"Квартира с ремонтом и мебелью в шаговой доступности от метро.","media/images/img.png"
973820346,"Квартира с новым ремонтом и мебелью",55000,Москва,47,"Однушка с ремонтом, новой мебелью и техникой, тихий район.","media/images/img.png"
973820346,"Квартира с кухней-столовой",58000,Москва,50,"Современная двухкомнатная квартира с кухней-столовой, идеальна для семьи.","media/images/img.png"
973820346,"Современная квартира в центре СПб",73000,Санкт-Петербург,60,"Большая двухкомнатная квартира с новым ремонтом и расположением в центре города.","media/images/img.png"
973820346,"Светлая студия с ремонтом",62000,Санкт-Петербург,47,"Современная студия в историческом центре с ремонтом и мебелью.","media/images/img.png"
973820346,"Квартира с панорамным видом на город",74000,Санкт-Петербург,65,"Просторная квартира с панорамными окнами и видом на город.","media/images/img.png"
973820346,"Однушка в центре с ремонтом",66000,Санкт-Петербург,52,"Квартира в центре города, в пешей доступности от Невского проспекта.","media/images/img.png"
973820346,"Студия с хорошим ремонтом",54000,Санкт-Петербург,38,"Небольшая студия с новым ремонтом в центре города, рядом с магазинами.","media/images/img.png"
973820346,"Светлая двухкомнатная квартира",69000,Нижний Новгород,60,"Квартира с ремонтом, светлые комнаты и окна во двор, удобное расположение.","media/images/img.png"
973820346,"Квартира с хорошим ремонтом и мебелью",54000,Нижний Новгород,50,"Комфортная двухкомнатная квартира с ремонтом и всей необходимой мебелью.","media/images/img.png"
973820346,"Современная квартира с кухней-столовой",60000,Нижний Новгород,55,"Квартира с просторной кухней-столовой, хорошая планировка.","media/images/img.png"
973820346,"Квартира с видом на Волгу",67000,Нижний Новгород,65,"Просторная квартира с видом на реку, современный ремонт.","media/images/img.png"
973820346,"Студия с отдельной кухней",49000,Нижний Новгород,42,"Студия с отдельной кухней, хорошая транспортная развязка и шаговая доступность до магазинов.","media/images/img.png"
973820346,"Квартира в новом жилом комплексе",71000,Нижний Новгород,75,"Просторная квартира в новом жилом комплексе, с балконом и панорамными окнами.","media/images/img.png"
973820346,"Квартира с панорамными окнами",75000,Нижний Новгород,80,"Квартира с видом на город, большие окна и просторные комнаты.","media/images/img.png"
973820346,"Однушка в тихом районе Нижнего",52000,Нижний Новгород,45,"Уютная однушка в тихом районе с новой мебелью и ремонтом.","media/images/img.png"
973820346,"Квартира с панорамными окнами",85000,Москва,65,"Просторная квартира с видом на город, современный ремонт и мебель.","media/images/img.png"
973820346,"Двухкомнатная квартира в центре Москвы",92000,Москва,70,"Квартира с отличной планировкой, в шаговой доступности от метро и достопримечательностей.","media/images/img.png"
973820346,"Современная квартира с балконом",88000,Москва,75,"Квартира с дизайнерским ремонтом, просторная кухня и светлый балкон с видом на парк.","media/images/img.png"
973820346,"Квартира в историческом центре Москвы",95000,Москва,72,"Просторная квартира в старинном доме с высокими потолками, с ремонтом и мебелью.","media/images/img.png"
973820346,"Уютная двухкомнатная квартира у метро",87000,Москва,68,"Комфортная квартира с новой мебелью и техникой, в шаговой доступности от метро.","media/images/img.png"
973820346,"Квартира с террасой и панорамным видом",98000,Москва,78,"Шикарная квартира с террасой, панорамным видом на Москву, идеальная для семей.","media/images/img.png"
973820346,"Квартира с гардеробной и балконом",91000,Москва,64,"Стильная квартира с гардеробной комнатой, балконом и уютной кухней.","media/images/img.png"
973820346,"Просторная квартира у парка",86000,Москва,70,"Квартира с ремонтом в тихом районе рядом с парком, хорошая транспортная доступность.","media/images/img.png"
973820346,"Квартира с двумя спальнями и гостиной",92000,Москва,74,"Квартира с просторными комнатами, удобная планировка для семьи с детьми.","media/images/img.png"
973820346,"Элегантная квартира с камином",95000,Москва,77,"Квартира с камином и стильным ремонтом, находящаяся в центре города, рядом с магазинами.","media/images/img.png"
